"Keyword"	"SERP features"	"Volume"	"KD"	"CPC"	"Previous organic traffic"	"Current organic traffic"	"Organic traffic change"	"Current paid traffic"	"Previous position"	"Current position"	"Position change"	"Previous URL inside"	"Previous URL"	"Current URL inside"	"Current URL"	"Previous date"	"Current date"
"keto exercise"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview"	"500"	"24"	"0.31"	"27"	"22"	"-5"	"0"	"6"	"7"	"-1"	""	"https://perfectketo.com/how-to-exercise-in-ketosis/"	""	"https://perfectketo.com/how-to-exercise-in-ketosis/"	"2023-02-26 20:58:34"	"2023-04-30 08:34:58"
"keto carb limit calculator"	""	"200"	"55"	""	"22"	"22"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-24 12:52:25"	"2023-04-18 01:27:04"
"no carb cereal"	"People also ask, Sitelinks, Videos"	"300"	"30"	"0.51"	"16"	"22"	"6"	"0"	"4"	"4"	""	""	"https://perfectketo.com/best-low-carb-cereal/"	""	"https://perfectketo.com/best-low-carb-cereal/"	"2023-02-09 10:38:38"	"2023-04-30 07:51:56"
"does keto work for everyone"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"250"	"27"	""	"22"	"22"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/does-keto-work-for-everyone/"	""	"https://perfectketo.com/does-keto-work-for-everyone/"	"2023-02-08 16:38:37"	"2023-04-29 00:08:46"
"is aspartame keto friendly"	"Sitelinks, Video preview"	"150"	"12"	""	"17"	"22"	"4"	"0"	"3"	"2"	"1"	""	"https://perfectketo.com/diet-soda-keto/"	""	"https://perfectketo.com/diet-soda-keto/"	"2023-02-17 15:32:04"	"2023-04-11 19:38:51"
"how many carbs in flour"	"People also ask, Knowledge panel, Sitelinks, Top stories, Thumbnail"	"900"	"8"	"1.45"	"42"	"21"	"-20"	"0"	"2"	"5"	"-3"	""	"https://perfectketo.com/is-flour-low-carb/"	""	"https://perfectketo.com/is-flour-low-carb/"	"2023-02-27 07:31:25"	"2023-05-01 15:50:03"
"cereal on keto"	"Top stories, Thumbnail, Sitelinks"	"60"	"25"	""	"21"	"21"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/best-keto-cereal/"	""	"https://perfectketo.com/best-keto-cereal/"	"2023-02-16 14:40:31"	"2023-04-10 18:16:04"
"hydrogenated oils"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview, Top stories"	"800"	"54"	"0.28"	"17"	"21"	"4"	"0"	"8"	"7"	"1"	""	"https://perfectketo.com/hydrogenated-oil/"	""	"https://perfectketo.com/hydrogenated-oil/"	"2023-02-26 00:05:17"	"2023-04-30 18:50:44"
"keto tired"	"People also ask, Sitelinks, Video preview"	"150"	"9"	""	"17"	"21"	"4"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/why-am-i-feeling-tired-on-keto/"	""	"https://perfectketo.com/why-am-i-feeling-tired-on-keto/"	"2023-02-26 10:34:33"	"2023-04-20 03:06:23"
"keto breakfast bars"	"Top stories, Thumbnail, People also ask, Shopping results, Sitelinks, Video preview"	"450"	"36"	"1.24"	"6"	"21"	"16"	"0"	"11"	"5"	"6"	""	"https://perfectketo.com/best-keto-breakfast-bars/"	""	"https://perfectketo.com/best-keto-breakfast-bars/"	"2023-02-26 18:49:40"	"2023-04-22 15:27:53"
"is rice low carb"	"Featured snippet, Thumbnail, People also ask, Videos, Top stories, Sitelinks, Video preview"	"700"	"25"	"0.00"	"11"	"21"	"10"	"0"	"9"	"6"	"3"	""	"https://perfectketo.com/is-rice-low-carb-friendly/"	""	"https://perfectketo.com/is-rice-low-carb-friendly/"	"2023-03-01 18:10:19"	"2023-04-28 05:38:03"
"what does 100 grams of fat look like keto"	"Image pack, People also ask, Sitelinks"	"100"	"12"	""	"21"	"21"	"0"	"0"	"1"	"1"	""	"Image pack"	"https://perfectketo.com/how-much-fat-should-you-eat-on-a-ketogenic-diet/"	"Image pack"	"https://perfectketo.com/how-much-fat-should-you-eat-on-a-ketogenic-diet/"	"2023-02-21 16:06:48"	"2023-04-15 09:59:51"
"are kind bars keto"	"Sitelinks, Image pack"	"200"	"12"	""	"17"	"21"	"4"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/are-kind-bars-healthy/"	""	"https://perfectketo.com/are-kind-bars-healthy/"	"2023-02-21 09:27:07"	"2023-04-15 21:39:05"
"corn keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories"	"700"	"6"	""	"17"	"21"	"4"	"0"	"8"	"7"	"1"	""	"https://perfectketo.com/is-corn-keto-friendly/"	""	"https://perfectketo.com/is-corn-keto-friendly/"	"2023-02-27 20:08:06"	"2023-04-25 22:58:12"
"ezekiel bread keto"	"People also ask, Top stories, Thumbnail, Image pack, Video preview, Shopping results"	"250"	"11"	""	"21"	"21"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/is-bread-low-carb-friendly/"	""	"https://perfectketo.com/is-bread-low-carb-friendly/"	"2023-02-09 15:32:20"	"2023-04-29 17:02:53"
"cloud bread keto"	"Top stories, Thumbnail, Sitelinks, People also ask, Video preview"	"3000"	"47"	"0.11"	"14"	"21"	"7"	"0"	"12"	"11"	"1"	""	"https://perfectketo.com/low-carb-cloud-bread/"	""	"https://perfectketo.com/low-carb-cloud-bread/"	"2023-02-28 16:54:53"	"2023-04-28 11:23:37"
"sunflower seeds carbs"	"People also ask, Knowledge panel, Top stories, Thumbnail"	"1100"	"6"	"0.60"	"17"	"21"	"4"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/are-sunflower-seeds-keto/"	""	"https://perfectketo.com/are-sunflower-seeds-keto/"	"2023-03-01 09:38:50"	"2023-04-26 14:04:16"
"ketosis taste in mouth"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Image pack"	"250"	"11"	"0.00"	"21"	"21"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/keto-breath/"	""	"https://perfectketo.com/keto-breath/"	"2023-02-05 03:09:09"	"2023-04-26 13:26:03"
"low carb substitute for bread crumbs"	"Top stories, Thumbnail, Sitelinks, Video preview, Image pack"	"60"	"14"	""	"21"	"21"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/low-carb-breadcrumb-substitute/"	""	"https://perfectketo.com/low-carb-breadcrumb-substitute/"	"2023-02-22 07:37:36"	"2023-04-16 00:21:19"
"is corn tortilla keto"	"Top stories, Thumbnail, Sitelinks, Videos, Image pack, Video preview"	"200"	"9"	""	"9"	"21"	"12"	"0"	"7"	"3"	"4"	""	"https://perfectketo.com/are-tortillas-low-carb/"	""	"https://perfectketo.com/are-tortillas-low-carb/"	"2023-02-25 18:50:36"	"2023-04-18 18:01:04"
"keto nut butters"	"People also ask, Knowledge panel, Sitelinks, Videos, Top stories, Thumbnail, Image pack"	"60"	"4"	""	"21"	"21"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/healthiest-nut-butters/"	""	"https://perfectketo.com/healthiest-nut-butters/"	"2023-02-04 17:14:22"	"2023-04-25 21:51:20"
"foods high in potassium keto"	"People also ask, Sitelinks, Top stories, Thumbnail"	"60"	"10"	""	"21"	"21"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/potassium-rich-foods/"	""	"https://perfectketo.com/potassium-rich-foods/"	"2023-02-22 09:31:17"	"2023-04-17 16:42:39"
"keto diet for pescatarians"	"People also ask, Image pack, Video preview"	"60"	"12"	"0.70"	"9"	"21"	"13"	"0"	"2"	"1"	"1"	""	"https://perfectketo.com/pescatarian-keto-diet/"	""	"https://perfectketo.com/pescatarian-keto-diet/"	"2023-02-08 15:59:33"	"2023-04-28 10:30:37"
"diarrhea when fasting"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"200"	"8"	""	"26"	"21"	"-5"	"0"	"2"	"3"	"-1"	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-18 06:02:03"	"2023-04-12 10:35:21"
"how fast do you lose weight on keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Videos"	"500"	"45"	"1.60"	"21"	"21"	"0"	"0"	"7"	"7"	""	""	"https://perfectketo.com/fast-will-lose-weight-keto-expect-dieting-keto/"	""	"https://perfectketo.com/fast-will-lose-weight-keto-expect-dieting-keto/"	"2023-02-28 01:34:04"	"2023-04-26 23:19:05"
"low carb bread alternatives"	"People also ask, Top stories, Thumbnail, Shopping results, Sitelinks"	"300"	"15"	"0.60"	"17"	"21"	"4"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/low-carb-bread-substitute/"	""	"https://perfectketo.com/low-carb-bread-substitute/"	"2023-02-06 20:47:20"	"2023-04-27 15:24:24"
"keto macro"	"Sitelinks"	"350"	"43"	"3.12"	"17"	"21"	"4"	"0"	"6"	"5"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-24 06:24:50"	"2023-04-18 00:34:18"
"can you eat buttered popcorn on keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Image pack, Sitelinks, Video preview"	"350"	"15"	""	"21"	"21"	"0"	"0"	"6"	"6"	""	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	""	"https://perfectketo.com/is-popcorn-keto-friendly/"	"2023-02-07 13:12:35"	"2023-04-28 01:39:15"
"tofu keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks"	"900"	"8"	"0.00"	"15"	"21"	"6"	"0"	"9"	"8"	"1"	""	"https://perfectketo.com/is-tofu-keto-friendly/"	""	"https://perfectketo.com/is-tofu-keto-friendly/"	"2023-03-01 03:45:34"	"2023-04-26 18:46:44"
"why does intermittent fasting cause diarrhea"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"200"	"8"	""	"21"	"21"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-09 09:45:47"	"2023-04-30 04:10:38"
"are pumpkin seeds low carb"	"Sitelinks, Top stories, Thumbnail, Videos, Image pack, Video preview"	"60"	"7"	""	"5"	"21"	"15"	"0"	"4"	"1"	"3"	""	"https://perfectketo.com/are-pumpkin-seeds-keto/"	""	"https://perfectketo.com/are-pumpkin-seeds-keto/"	"2023-02-24 22:31:40"	"2023-04-18 02:52:44"
"low carb bread crumbs substitute"	"People also ask, Top stories, Thumbnail, Shopping results, Image pack, Video preview"	"60"	"14"	"0.63"	"5"	"21"	"15"	"0"	"4"	"1"	"3"	""	"https://perfectketo.com/low-carb-breadcrumb-substitute/"	""	"https://perfectketo.com/low-carb-breadcrumb-substitute/"	"2023-02-21 20:12:53"	"2023-04-14 17:14:50"
"is 100 grams of protein too much on keto"	"Sitelinks"	"150"	"16"	""	"17"	"21"	"4"	"0"	"3"	"2"	"1"	""	"https://perfectketo.com/how-too-much-protein-is-bad-for-ketosis/"	""	"https://perfectketo.com/how-too-much-protein-is-bad-for-ketosis/"	"2023-02-17 13:37:25"	"2023-04-12 03:45:20"
"difference between slimfast and slimfast keto"	"Sitelinks"	"150"	"16"	""	"17"	"21"	"4"	"0"	"3"	"2"	"1"	""	"https://perfectketo.com/slimfast-keto/"	""	"https://perfectketo.com/slimfast-keto/"	"2023-02-19 19:09:12"	"2023-04-14 01:41:14"
"keto blog"	"Knowledge panel, Top stories, Thumbnail"	"500"	"61"	"0.52"	"40"	"21"	"-19"	"0"	"6"	"9"	"-3"	""	"https://perfectketo.com/blog/"	""	"https://perfectketo.com/blog/"	"2023-02-26 02:53:15"	"2023-04-23 23:15:04"
"are tortillas keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks"	"200"	"9"	""	"16"	"21"	"4"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/are-tortillas-low-carb/"	""	"https://perfectketo.com/are-tortillas-low-carb/"	"2023-02-27 06:41:44"	"2023-04-22 02:01:35"
"keto whole foods"	"Sitelinks, People also ask, Video preview"	"800"	"15"	""	"8"	"20"	"12"	"0"	"14"	"10"	"4"	""	"https://perfectketo.com/keto-whole-foods/"	""	"https://perfectketo.com/keto-whole-foods/"	"2023-03-01 16:19:39"	"2023-04-25 00:55:48"
"deep ketosis fasting"	"People also ask, Image pack"	"60"	"41"	""	"20"	"20"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/the-5-stages-of-fasting/"	""	"https://perfectketo.com/the-5-stages-of-fasting/"	"2023-02-08 03:19:50"	"2023-04-28 11:53:05"
"keto on a budget shopping list"	"People also ask, Image pack"	"60"	"18"	""	"4"	"20"	"16"	"0"	"5"	"1"	"4"	""	"https://perfectketo.com/keto-on-a-budget/"	""	"https://perfectketo.com/keto-on-a-budget/"	"2023-02-27 11:10:04"	"2023-04-20 05:37:32"
"budget keto grocery list"	"People also ask, Sitelinks"	"60"	"6"	""	"5"	"20"	"15"	"0"	"4"	"1"	"3"	""	"https://perfectketo.com/keto-on-a-budget/"	""	"https://perfectketo.com/keto-on-a-budget/"	"2023-02-07 22:18:52"	"2023-04-28 17:08:29"
"keto foods with potassium"	"Sitelinks, Top stories, Thumbnail, Image pack, Video preview"	"60"	"10"	""	"7"	"20"	"14"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/potassium-rich-foods/"	""	"https://perfectketo.com/potassium-rich-foods/"	"2023-02-25 08:06:04"	"2023-04-18 21:26:47"
"is xylitol keto friendly"	"People also ask, Sitelinks, Video preview"	"60"	"12"	""	"7"	"20"	"14"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/xylitol/"	""	"https://perfectketo.com/xylitol/"	"2023-02-11 15:51:18"	"2023-05-01 20:11:20"
"mct oil vs powder"	"Sitelinks, Video preview, Top stories, Thumbnail"	"250"	"3"	""	"25"	"20"	"-5"	"0"	"4"	"5"	"-1"	""	"https://perfectketo.com/mct-oil-vs-powder/"	""	"https://perfectketo.com/mct-oil-vs-powder/"	"2023-02-18 19:35:23"	"2023-04-12 18:48:22"
"stopped losing weight on keto"	"People also ask, Image pack, Adwords bottom"	"250"	"32"	""	"7"	"20"	"13"	"0"	"8"	"3"	"5"	""	"https://perfectketo.com/keto-plateau/"	""	"https://perfectketo.com/keto-plateau/"	"2023-02-05 05:25:23"	"2023-04-25 23:45:55"
"fasting stages"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview"	"600"	"25"	"0.00"	"39"	"20"	"-19"	"0"	"7"	"10"	"-3"	""	"https://perfectketo.com/the-5-stages-of-fasting/"	""	"https://perfectketo.com/the-5-stages-of-fasting/"	"2023-02-26 04:27:50"	"2023-04-30 17:34:47"
"is safflower oil good for you"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories"	"450"	"28"	"0.45"	"25"	"20"	"-5"	"0"	"5"	"6"	"-1"	""	"https://perfectketo.com/safflower-oil/"	""	"https://perfectketo.com/safflower-oil/"	"2023-02-13 00:05:11"	"2023-04-09 00:01:19"
"crystal light on keto"	"Video preview, Image pack"	"70"	"9"	""	"20"	"20"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/crystal-light-keto-friendly/"	""	"https://perfectketo.com/crystal-light-keto-friendly/"	"2023-02-26 11:17:51"	"2023-04-19 16:37:35"
"is asparagus keto friendly"	"Top stories, Thumbnail, Videos, Image pack"	"350"	"8"	""	"16"	"20"	"4"	"0"	"7"	"6"	"1"	""	"https://perfectketo.com/is-asparagus-keto/"	""	"https://perfectketo.com/is-asparagus-keto/"	"2023-02-19 00:21:36"	"2023-04-13 07:04:18"
"spaghetti squash keto friendly"	"Top stories, Thumbnail, Sitelinks, Image pack, Video preview"	"150"	"16"	""	"18"	"20"	"2"	"0"	"1"	"1"	""	"Top stories"	"https://perfectketo.com/keto-spaghetti-squash/"	"Top stories"	"https://perfectketo.com/keto-spaghetti-squash/"	"2023-02-20 03:19:20"	"2023-04-14 16:51:41"
"how to stop diarrhea from intermittent fasting"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"150"	"8"	""	"20"	"20"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-19 22:55:47"	"2023-04-13 12:01:19"
"fasting ketosis"	"Sitelinks"	"250"	"56"	"0.83"	"16"	"20"	"4"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/fasting-ketosis-symptoms/"	""	"https://perfectketo.com/fasting-ketosis-symptoms/"	"2023-02-23 07:57:38"	"2023-04-19 10:33:17"
"how much weight can you lose in a month on keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"450"	"22"	""	"39"	"20"	"-19"	"0"	"4"	"7"	"-3"	""	"https://perfectketo.com/fast-will-lose-weight-keto-expect-dieting-keto/"	""	"https://perfectketo.com/fast-will-lose-weight-keto-expect-dieting-keto/"	"2023-02-09 23:45:46"	"2023-04-29 21:02:15"
"is glycerin keto"	"Image pack, Top stories, Thumbnail"	"60"	"4"	""	"20"	"20"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/vegetable-glycerine/"	""	"https://perfectketo.com/vegetable-glycerine/"	"2023-02-25 22:29:04"	"2023-04-18 18:03:45"
"keyo cereal"	"Shopping results, Thumbnail, People also ask, Top stories, Sitelinks, Video preview"	"60"	"34"	""	"6"	"20"	"14"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/best-keto-cereal/"	""	"https://perfectketo.com/best-keto-cereal/"	"2023-02-08 06:16:24"	"2023-04-28 02:02:51"
"best pasta for keto"	"People also ask, Top stories, Thumbnail, Videos, Sitelinks, Image pack, Shopping results, Video preview"	"60"	"19"	""	"0"	"20"	"20"	"0"	"26"	"1"	"25"	""	"https://perfectketo.com/low-carb-pasta-substitutes/"	""	"https://perfectketo.com/best-low-carb-pasta-and-noodles/"	"2023-02-12 03:45:03"	"2023-05-02 06:59:45"
"best ketones drink for weight loss"	"People also ask, Image pack, Top stories, Thumbnail"	"350"	"10"	""	"31"	"20"	"-11"	"0"	"4"	"6"	"-2"	""	"https://perfectketo.com/ketone-drinks/"	""	"https://perfectketo.com/ketone-drinks/"	"2023-02-10 12:56:03"	"2023-04-30 07:19:18"
"ketosis breath"	"Featured snippet, Thumbnail, People also ask, Sitelinks"	"4700"	"31"	"0.63"	"42"	"20"	"-22"	"0"	"9"	"11"	"-2"	""	"https://perfectketo.com/keto-breath/"	""	"https://perfectketo.com/keto-breath/"	"2023-02-24 19:58:51"	"2023-05-01 20:22:18"
"ketosis calculator"	"Sitelinks, People also ask, Image pack"	"250"	"55"	""	"13"	"20"	"6"	"0"	"6"	"5"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-05 03:25:49"	"2023-04-26 04:43:15"
"keto potato substitute"	"People also ask, Top stories, Thumbnail, Sitelinks, Video preview"	"500"	"10"	""	"18"	"20"	"2"	"0"	"5"	"4"	"1"	"Top stories"	"https://perfectketo.com/rutabaga-potato-substitute/"	"Top stories"	"https://perfectketo.com/rutabaga-potato-substitute/"	"2023-02-23 05:27:54"	"2023-04-28 01:10:29"
"keto shits"	"People also ask, Sitelinks"	"200"	"9"	""	"20"	"20"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/keto-poop/"	""	"https://perfectketo.com/keto-poop/"	"2023-02-05 10:43:16"	"2023-04-26 13:33:17"
"grass fed butter benefits"	"People also ask, Sitelinks, Top stories, Thumbnail"	"450"	"42"	"2.33"	"26"	"20"	"-6"	"0"	"5"	"6"	"-1"	""	"https://perfectketo.com/grass-fed-butter/"	""	"https://perfectketo.com/grass-fed-butter/"	"2023-02-21 07:58:39"	"2023-04-14 19:40:04"
"how long does it take for gymnema sylvestre to start working"	"Featured snippet, Thumbnail, People also ask"	"250"	"25"	""	"31"	"20"	"-11"	"0"	"4"	"6"	"-2"	""	"https://perfectketo.com/benefits-gymnema-sylvestre/"	""	"https://perfectketo.com/benefits-gymnema-sylvestre/"	"2023-02-10 04:58:47"	"2023-05-01 05:26:29"
"how many carbs in jicama"	"People also ask, Knowledge panel, Sitelinks, Top stories, Thumbnail, Video preview"	"500"	"14"	"0.00"	"8"	"20"	"12"	"0"	"7"	"3"	"4"	""	"https://perfectketo.com/jicama-keto-friendly/"	""	"https://perfectketo.com/jicama-keto-friendly/"	"2023-02-26 01:58:26"	"2023-04-25 04:27:34"
"is keto dairy free"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Video preview"	"250"	"9"	""	"20"	"20"	"0"	"0"	"5"	"5"	""	""	"https://perfectketo.com/keto-without-dairy/"	""	"https://perfectketo.com/keto-without-dairy/"	"2023-02-27 13:53:36"	"2023-04-22 01:25:25"
"how many days a week should you fast"	""	"90"	"54"	""	"20"	"20"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/how-often-should-you-intermittent-fast/"	""	"https://perfectketo.com/how-often-should-you-intermittent-fast/"	"2023-02-12 02:48:20"	"2023-04-08 08:24:49"
"halo ice cream keto"	"Sitelinks, People also ask, Shopping results, Thumbnail, Video preview, Top stories"	"300"	"8"	""	"10"	"20"	"10"	"0"	"8"	"5"	"3"	""	"https://perfectketo.com/is-halo-top-keto-friendly/"	""	"https://perfectketo.com/is-halo-top-keto-friendly/"	"2023-02-25 17:20:22"	"2023-04-23 05:16:39"
"speed keto meal plan"	"People also ask, Sitelinks"	"200"	"23"	""	"12"	"20"	"7"	"0"	"4"	"5"	"-1"	""	"https://perfectketo.com/speed-keto/"	""	"https://perfectketo.com/speed-keto/"	"2023-02-07 07:11:02"	"2023-04-28 03:32:48"
"does intermittent fasting cause diarrhea"	"Sitelinks, People also ask, Image pack"	"200"	"10"	""	"24"	"20"	"-5"	"0"	"3"	"4"	"-1"	""	"https://perfectketo.com/diarrhea-during-fasting/"	""	"https://perfectketo.com/diarrhea-during-fasting/"	"2023-02-12 03:24:57"	"2023-04-07 20:18:04"
"keto carbs per day calculator"	"People also ask, Sitelinks"	"200"	"51"	""	"20"	"20"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-09 01:05:46"	"2023-04-30 08:10:29"
"splenda carbs"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Image pack"	"600"	"7"	"2.27"	"19"	"19"	"0"	"0"	"7"	"7"	""	""	"https://perfectketo.com/splenda-keto/"	""	"https://perfectketo.com/splenda-keto/"	"2023-02-27 10:14:48"	"2023-05-02 06:57:44"
"benefits of drinking ketones"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview, Image pack"	"150"	"26"	""	"19"	"19"	"0"	"0"	"3"	"3"	""	""	"https://perfectketo.com/ketone-drinks/"	""	"https://perfectketo.com/ketone-drinks/"	"2023-02-12 17:46:21"	"2023-04-08 03:31:24"
"keto podcasts"	"People also ask, Sitelinks, Video preview, Image pack"	"60"	"12"	""	"6"	"19"	"13"	"0"	"3"	"1"	"2"	""	"https://perfectketo.com/keto-podcasts/"	""	"https://perfectketo.com/keto-podcasts/"	"2023-02-09 05:37:50"	"2023-04-30 13:32:46"
"erythritol and keto"	"Video preview, Image pack"	"80"	"41"	""	"19"	"19"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/erythritol-keto-sweetener/"	""	"https://perfectketo.com/erythritol-keto-sweetener/"	"2023-02-20 08:53:56"	"2023-04-14 20:36:48"
"is ceylon cinnamon good for you"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Image pack"	"300"	"62"	"0.80"	"12"	"19"	"7"	"0"	"8"	"6"	"2"	""	"https://perfectketo.com/ceylon-cinnamon-benefits/"	""	"https://perfectketo.com/ceylon-cinnamon-benefits/"	"2023-02-10 06:06:09"	"2023-04-30 17:28:54"
"how many carbs in champagne"	"Featured snippet, Thumbnail, People also ask, Image pack, Top stories"	"500"	"9"	"0.17"	"19"	"19"	"1"	"0"	"5"	"5"	""	""	"https://perfectketo.com/carbohydrates-in-champagne/"	""	"https://perfectketo.com/carbohydrates-in-champagne/"	"2023-02-27 00:17:11"	"2023-04-25 20:58:11"
"can you eat bananas on keto"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Video preview"	"800"	"17"	""	"30"	"19"	"-11"	"0"	"5"	"7"	"-2"	""	"https://perfectketo.com/is-banana-keto/"	""	"https://perfectketo.com/is-banana-keto/"	"2023-03-01 08:55:57"	"2023-04-27 01:59:05"
"is acai keto"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories, Videos"	"250"	"4"	""	"15"	"19"	"4"	"0"	"6"	"5"	"1"	""	"https://perfectketo.com/acai-bowl-nutrition/"	""	"https://perfectketo.com/acai-bowl-nutrition/"	"2023-02-07 11:50:32"	"2023-04-27 00:39:03"
"is jicama keto friendly"	"Featured snippet, Thumbnail, People also ask, Top stories, Video preview"	"300"	"4"	""	"19"	"19"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/jicama-keto-friendly/"	""	"https://perfectketo.com/jicama-keto-friendly/"	"2023-02-09 21:17:48"	"2023-04-30 17:17:18"
"carb backloading"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Video preview"	"450"	"10"	"0.76"	"30"	"19"	"-11"	"0"	"6"	"8"	"-2"	""	"https://perfectketo.com/carb-backloading/"	""	"https://perfectketo.com/carb-backloading/"	"2023-02-27 11:49:29"	"2023-04-24 09:24:44"
"best veggies for weight loss"	"People also ask, Sitelinks, Top stories, Thumbnail, Video preview"	"1200"	"43"	"4.92"	"38"	"19"	"-18"	"0"	"8"	"11"	"-3"	""	"https://perfectketo.com/top-11-best-vegetables-for-weight-loss/"	""	"https://perfectketo.com/top-11-best-vegetables-for-weight-loss/"	"2023-02-25 05:18:09"	"2023-05-01 22:44:32"
"is impossible burger keto"	"Image pack, Sitelinks, Top stories, Thumbnail, Video preview"	"50"	"0"	""	"19"	"19"	"0"	"0"	"1"	"1"	""	""	"https://perfectketo.com/is-the-impossible-burger-healthy/"	""	"https://perfectketo.com/is-the-impossible-burger-healthy/"	"2023-02-22 23:13:04"	"2023-04-15 14:07:17"
"champagne carbs"	"Featured snippet, Thumbnail, People also ask, Image pack, Sitelinks, Top stories, Video preview"	"450"	"9"	"2.13"	"12"	"19"	"7"	"0"	"7"	"5"	"2"	""	"https://perfectketo.com/carbohydrates-in-champagne/"	""	"https://perfectketo.com/carbohydrates-in-champagne/"	"2023-02-26 16:21:17"	"2023-04-24 21:38:22"
"keto cream of chicken soup"	"Top stories, Thumbnail, People also ask, Sitelinks, Video preview, Image pack"	"400"	"0"	"0.00"	"24"	"19"	"-5"	"0"	"6"	"7"	"-1"	""	"https://perfectketo.com/keto-cream-of-chicken-soup/"	""	"https://perfectketo.com/keto-cream-of-chicken-soup/"	"2023-02-28 02:53:36"	"2023-04-25 20:41:05"
"how long can you stay in ketosis"	"Sitelinks"	"250"	"27"	"0.75"	"19"	"19"	"0"	"0"	"4"	"4"	""	""	"https://perfectketo.com/how-long-should-you-do-keto/"	""	"https://perfectketo.com/how-long-should-you-do-keto/"	"2023-02-17 03:18:04"	"2023-04-12 02:59:41"
"weight loss vegetables"	"People also ask, Image pack, Top stories, Thumbnail, Sitelinks, Video preview"	"300"	"43"	"4.12"	"12"	"19"	"7"	"0"	"8"	"6"	"2"	""	"https://perfectketo.com/top-11-best-vegetables-for-weight-loss/"	""	"https://perfectketo.com/top-11-best-vegetables-for-weight-loss/"	"2023-02-24 00:09:30"	"2023-04-21 22:32:16"
